,index,AEROPORTO_DE_ORIGEM_SIGLA,AEROPORTO_DE_DESTINO_SIGLA,ASSENTOS
0,0,1AON,SBBE,12.0
1,1,1AON,SBCJ,12.0
2,2,1AON,SBMA,12.0
3,5,1AON,SNDC,12.0
4,6,6ASO,SBCY,12.0
5,8,6ASO,SBSI,12.0
6,10,6ASO,SWMP,12.0
7,13,CYUL,SBGR,296.0
8,15,CYXX,SBBR,298.0
9,16,CYYY,SBGR,210.0
10,17,CYYZ,CYYZ,248.0
11,18,CYYZ,KJFK,222.0
12,20,CYYZ,MKJS,221.0
13,22,CYYZ,SBGL,210.0
14,23,CYYZ,SBGR,247.0
15,25,CYYZ,SNGR,208.0
16,41,DGAA,SBGL,177.0
17,42,DGAA,SBGR,9.0
18,53,DNAA,SBGL,266.0
19,61,DNMM,SBGR,22.0
20,67,DTTA,SBGR,235.0
21,68,DTTA,UUEE,235.0
22,69,DXXX,HAAB,272.0
23,70,DXXX,SBBE,270.0
24,72,DXXX,SBGL,270.0
25,73,DXXX,SBGR,188.0
26,75,EBBB,LEMD,317.0
27,76,EBBB,SBGL,325.0
28,77,EBBB,SBGR,196.0
29,78,EBBB,SBRF,315.0
30,79,EBBB,SBSV,276.0
31,81,EBBR,EHAM,315.0
32,91,EBBR,SBCF,474.0
33,113,EDDF,EBBB,325.0
34,114,EDDF,EDDF,270.0
35,115,EDDF,EGLL,141.0
36,120,EDDF,GCLP,122.0
37,121,EDDF,GCXO,140.0
38,122,EDDF,GOBD,14.0
39,125,EDDF,GVAC,6.0
40,129,EDDF,LEMD,137.0
41,130,EDDF,LFPG,330.0
42,131,EDDF,LPPT,290.0
43,132,EDDF,LSZH,252.0
44,139,EDDF,SBBR,25.0
45,140,EDDF,SBCF,271.0
46,142,EDDF,SBEG,22.0
47,144,EDDF,SBFZ,250.0
48,145,EDDF,SBGL,274.0
49,146,EDDF,SBGR,321.0
50,147,EDDF,SBKP,20.0
51,148,EDDF,SBNT,216.0
52,150,EDDF,SBRF,234.0
53,151,EDDF,SBRG,345.0
54,153,EDDF,SBSV,262.0
55,163,EDDF,SNGR,399.0
56,170,EDDK,EDDM,276.0
57,171,EDDK,SBGL,284.0
58,172,EDDK,SBRF,284.0
59,173,EDDL,EDDF,280.0
60,174,EDDM,EDDF,252.0
61,175,EDDM,LEMD,283.0
62,176,EDDM,LEPA,300.0
63,177,EDDM,SBBR,241.0
64,178,EDDM,SBCF,300.0
65,179,EDDM,SBGL,289.0
66,180,EDDM,SBGR,264.0
67,181,EDDM,SBKP,259.0
68,182,EDDM,SBRF,259.0
69,183,EDDM,SBSV,190.0
70,189,EDHI,GCLP,141.0
71,192,EGBB,EGLL,299.0
72,195,EGKK,SBGL,346.0
73,196,EGKK,SBGR,387.0
74,199,EGLL,EKCH,256.0
75,200,EGLL,GCLP,379.0
76,201,EGLL,GCTS,299.0
77,202,EGLL,LEMD,269.0
78,203,EGLL,LPPT,357.0
79,204,EGLL,SAEZ,327.0
80,205,EGLL,SBCF,255.0
81,206,EGLL,SBEG,284.0
82,207,EGLL,SBFZ,271.0
83,208,EGLL,SBGL,251.0
84,209,EGLL,SBGR,307.0
85,210,EGLL,SBKP,284.0
86,211,EGLL,SBRF,267.0
87,212,EGLL,SBRG,297.0
88,213,EGLL,SBSV,286.0
89,214,EGLL,SSBG,254.0
90,222,EGSS,SBBR,267.0
91,223,EGSS,SBGR,267.0
92,226,EGYP,SACO,221.0
93,227,EGYP,SBGR,221.0
94,229,EHAM,EDDF,2.0
95,230,EHAM,EGLL,100.0
96,235,EHAM,GCTS,6.0
97,245,EHAM,LFPG,285.0
98,248,EHAM,LPLA,425.0
99,249,EHAM,LPPT,408.0
100,254,EHAM,SAEZ,222.0
101,259,EHAM,SBCF,212.0
102,263,EHAM,SBFZ,250.0
103,264,EHAM,SBGL,292.0
104,265,EHAM,SBGR,342.0
105,266,EHAM,SBKP,3.0
106,268,EHAM,SBRF,425.0
107,269,EHAM,SBRG,310.0
108,290,EHBK,EHAM,425.0
109,302,EKCH,EGLL,277.0
110,305,EKCH,SBGR,278.0
111,356,FACT,FAJS,154.0
112,358,FACT,SBGR,265.0
113,359,FAJS,FACT,265.0
114,361,FAJS,SBGR,263.0
115,365,FAOR,SBGR,256.0
116,366,FKKD,SBGR,270.0
117,367,FKYS,FNLU,293.0
118,371,FNLU,SBGL,267.0
119,372,FNLU,SBGR,255.0
120,378,FOOL,SBGR,270.0
121,379,FQMA,SBCF,306.0
122,380,FQMA,SBGR,270.0
123,385,FZAA,SBGR,57.0
124,399,GCLP,LEMD,249.0
125,400,GCLP,LFPG,212.0
126,401,GCLP,LIMC,191.0
127,402,GCLP,LPPR,268.0
128,403,GCLP,LPPT,263.0
129,405,GCLP,SBFZ,268.0
130,406,GCLP,SBGL,250.0
131,407,GCLP,SBGR,256.0
132,409,GCLP,SBRF,141.0
133,410,GCLP,SBSG,263.0
134,411,GCLP,SBSV,221.0
135,417,GCTS,LFPG,379.0
136,418,GCTS,SBFZ,135.0
137,420,GCTS,SBGR,357.0
138,422,GCTS,SBRF,237.0
139,424,GCXO,LEMD,237.0
140,425,GCXO,SBGL,237.0
141,426,GCXO,SBGR,140.0
142,429,GMMN,LFPG,280.0
143,430,GMMN,LIRF,200.0
144,432,GMMN,SBGL,255.0
145,433,GMMN,SBGR,258.0
146,436,GMMX,SBGR,349.0
147,445,GOBD,LFPG,381.0
148,453,GOBD,SBGL,127.0
149,454,GOBD,SBGR,5.0
150,473,GOOY,LFPG,227.0
151,475,GOOY,LIRF,191.0
152,477,GOOY,LTBA,164.0
153,489,GOOY,SBGL,23.0
154,490,GOOY,SBGR,43.0
155,493,GOOY,SBRF,198.0
156,517,GVAC,EDDF,16.0
157,525,GVAC,GVNP,210.0
158,527,GVAC,LEMD,220.0
159,528,GVAC,LIMC,200.0
160,529,GVAC,LIRF,253.0
161,530,GVAC,LPPT,215.0
162,531,GVAC,N/I,183.0
163,533,GVAC,SBBE,84.0
164,535,GVAC,SBCF,263.0
165,539,GVAC,SBFZ,203.0
166,540,GVAC,SBGL,99.0
167,541,GVAC,SBGR,3.0
168,542,GVAC,SBKP,3.0
169,544,GVAC,SBPA,183.0
170,545,GVAC,SBRF,183.0
171,548,GVAC,SBSV,167.0
172,561,GVNP,GVAC,105.0
173,563,GVNP,SBFZ,216.0
174,567,HAAB,DXXX,272.0
175,568,HAAB,FOOL,270.0
176,569,HAAB,HAAB,292.0
177,570,HAAB,SAEZ,313.0
178,572,HAAB,SBCF,270.0
179,573,HAAB,SBGL,270.0
180,574,HAAB,SBGR,280.0
181,575,HAAB,SBKP,270.0
182,579,HKJK,SBGL,354.0
183,581,HUEN,SBGR,295.0
184,582,KAEX,SBCF,242.0
185,583,KAEX,SBGL,200.0
186,584,KATL,KATL,294.0
187,585,KATL,KDTW,222.0
188,586,KATL,KFLL,124.0
189,587,KATL,KJAX,246.0
190,588,KATL,KJFK,246.0
191,589,KATL,KMCO,124.0
192,591,KATL,KMIA,190.0
193,593,KATL,SBBR,181.0
194,594,KATL,SBCF,201.0
195,595,KATL,SBEG,125.0
196,596,KATL,SBFZ,173.0
197,597,KATL,SBGL,230.0
198,598,KATL,SBGO,170.0
199,599,KATL,SBGR,249.0
200,600,KATL,SBKP,186.0
201,601,KATL,SBRF,165.0
202,603,KATL,TJSJ,215.0
203,606,KAUS,KDFW,247.0
204,607,KAUS,KIAH,214.0
205,609,KBDL,KJFK,339.0
206,612,KBOS,KEWR,174.0
207,613,KBOS,KIAD,258.0
208,614,KBOS,KJFK,231.0
209,615,KBOS,SBEG,221.0
210,617,KBOS,SBGR,260.0
211,618,KCLT,KATL,260.0
212,619,KCLT,KFLL,200.0
213,620,KCLT,SBBR,200.0
214,621,KCLT,SBGL,210.0
215,622,KCLT,SBGR,217.0
216,623,KCLT,SBKP,200.0
217,624,KCLT,TJSJ,200.0
218,627,KDAB,KMCO,170.0
219,628,KDAL,KDFW,246.0
